구분,그룹,고민유형,비율
지역소분류,동대문구,자녀양육,10.7
지역소분류,중랑구,자녀양육,5.8
지역소분류,성북구,자녀양육,10.3
지역소분류,강북구,자녀양육,6.8
지역소분류,도봉구,자녀양육,14.9
지역소분류,노원구,자녀양육,12.9
지역소분류,은평구,자녀양육,9.1
지역소분류,서대문구,자녀양육,8.6
지역소분류,마포구,자녀양육,6.0
지역소분류,양천구,자녀양육,14.9
지역소분류,강서구,자녀양육,10.1
지역소분류,구로구,자녀양육,11.0
지역소분류,금천구,자녀양육,7.3
지역소분류,영등포구,자녀양육,5.9
지역소분류,동작구,자녀양육,5.8
지역소분류,관악구,자녀양육,7.9
지역소분류,서초구,자녀양육,7.2
지역소분류,강남구,자녀양육,8.0
지역소분류,송파구,자녀양육,10.6
지역소분류,강동구,자녀양육,9.3
서울시,소계,노후생활,9.2
성별,남자,노후생활,8.8
성별,여자,노후생활,9.5
연령별,10대,노후생활,0.5
연령별,20대,노후생활,1.6
연령별,30대,노후생활,3.6
연령별,40대,노후생활,8.3
연령별,50대,노후생활,16.3
연령별,60대 이상,노후생활,19.8
학력별,중졸 이하,노후생활,17.5
학력별,고졸 이하,노후생활,10.7
학력별,대졸 이하,노후생활,5.6
학력별,대학원 이상,노후생활,6.9
소득별,100 만원 미만,노후생활,18.4
소득별,100-200만 미만,노후생활,12.8
소득별,200-300만 미만,노후생활,9.0
소득별,300-400만 미만,노후생활,7.7
소득별,400-500만 미만,노후생활,8.0
소득별,500만 이상,노후생활,8.6
혼인상태별,기혼,노후생활,10.7
혼인상태별,미혼,노후생활,1.8
혼인상태별,이혼/별거,노후생활,13.6
혼인상태별,사별,노후생활,23.2
지역대분류,도심권,노후생활,10.6
지역대분류,동북권,노후생활,10.0
지역대분류,서북권,노후생활,8.2
지역대분류,서남권,노후생활,7.9
지역대분류,동남권,노후생활,9.9
지역소분류,종로구,노후생활,11.7
지역소분류,중구,노후생활,13.9
지역소분류,용산구,노후생활,8.2
지역소분류,성동구,노후생활,10.1
지역소분류,광진구,노후생활,9.0
지역소분류,동대문구,노후생활,12.4
지역소분류,중랑구,노후생활,11.0
지역소분류,성북구,노후생활,12.7
지역소분류,강북구,노후생활,10.0
지역소분류,도봉구,노후생활,9.1
지역소분류,노원구,노후생활,6.6
지역소분류,은평구,노후생활,7.7
지역소분류,서대문구,노후생활,10.4
지역소분류,마포구,노후생활,6.9
지역소분류,양천구,노후생활,6.4
지역소분류,강서구,노후생활,8.3
지역소분류,구로구,노후생활,8.2
지역소분류,금천구,노후생활,5.5
지역소분류,영등포구,노후생활,12.6
지역소분류,동작구,노후생활,7.1
지역소분류,관악구,노후생활,7.3
지역소분류,서초구,노후생활,6.7
지역소분류,강남구,노후생활,8.6
지역소분류,송파구,노후생활,12.6
지역소분류,강동구,노후생활,10.8
서울시,소계,가족간 문제,8.8
성별,남자,가족간 문제,9.1
성별,여자,가족간 문제,8.5
연령별,10대,가족간 문제,3.5
연령별,20대,가족간 문제,6.1
연령별,30대,가족간 문제,8.6
연령별,40대,가족간 문제,11.0
연령별,50대,가족간 문제,11.2
연령별,60대 이상,가족간 문제,8.8
학력별,중졸 이하,가족간 문제,6.6
학력별,고졸 이하,가족간 문제,10.7
학력별,대졸 이하,가족간 문제,7.9
학력별,대학원 이상,가족간 문제,9.5
소득별,100 만원 미만,가족간 문제,4.8
소득별,100-200만 미만,가족간 문제,8.6
소득별,200-300만 미만,가족간 문제,9.5
소득별,300-400만 미만,가족간 문제,8.8
소득별,400-500만 미만,가족간 문제,9.5
소득별,500만 이상,가족간 문제,8.4
혼인상태별,기혼,가족간 문제,10.2
혼인상태별,미혼,가족간 문제,4.6
혼인상태별,이혼/별거,가족간 문제,16.7
혼인상태별,사별,가족간 문제,7.4
지역대분류,도심권,가족간 문제,9.6
지역대분류,동북권,가족간 문제,7.2
지역대분류,서북권,가족간 문제,8.5
지역대분류,서남권,가족간 문제,10.6
지역대분류,동남권,가족간 문제,8.7
지역소분류,종로구,가족간 문제,7.7
지역소분류,중구,가족간 문제,11.7
지역소분류,용산구,가족간 문제,9.8
지역소분류,성동구,가족간 문제,6.0
지역소분류,광진구,가족간 문제,8.4
지역소분류,동대문구,가족간 문제,6.2
지역소분류,중랑구,가족간 문제,11.6
지역소분류,성북구,가족간 문제,4.9
지역소분류,강북구,가족간 문제,8.5
지역소분류,도봉구,가족간 문제,8.6
지역소분류,노원구,가족간 문제,4.5
지역소분류,은평구,가족간 문제,9.2
지역소분류,서대문구,가족간 문제,10.8
지역소분류,마포구,가족간 문제,5.5
지역소분류,양천구,가족간 문제,8.4
지역소분류,강서구,가족간 문제,6.7
지역소분류,구로구,가족간 문제,21.6
지역소분류,금천구,가족간 문제,7.2
지역소분류,영등포구,가족간 문제,5.9
지역소분류,동작구,가족간 문제,14.0
지역소분류,관악구,가족간 문제,10.0
지역소분류,서초구,가족간 문제,9.7
지역소분류,강남구,가족간 문제,9.1
지역소분류,송파구,가족간 문제,8.5
지역소분류,강동구,가족간 문제,7.8
서울시,소계,공부,6.8
성별,남자,공부,7.4
성별,여자,공부,6.2
연령별,10대,공부,54.5
연령별,20대,공부,12.0
연령별,30대,공부,0.9
